"cow","slp_feed_intake","slp_feed_duration","slp_feed_visits","slp_water_intake","slp_water_duration","slp_water_visits","slp_total_meals","slp_median_meal_duration","slp_median_visit_per_meal","slp_median_intake_per_meal","slp_median_feeding_pct_per_meal","slp_number_of_non_nutritive_visits","slp_median_pct_feed_remaining","slp_median_non_nutritive_per_meal","slp_total_actor","slp_total_reactor"
"6033",7.32034106263083,2134.54826558632,0.183623971010952,10.3091216893075,0.324866940137737,0.218144336875025,0.204031533140531,0.273192163206489,0.304553407309636,0.279861073621658,5.36699850571748,0.329902264980725,11.8526380776317,0.37633871384895,0.399679272549927,0.430701400975923
"6041",5.57626558269598,1526.72400639272,0.18466975709776,11.9900140621235,0.182100370044676,0.213181706018316,0.171405860984233,0.277119083212001,0.317674311966761,0.264694198512792,4.31180213673683,0.355747290586298,12.2368685442773,0.387707968932994,0.451808140836806,0.355185120647221
"6043",4.25475209158448,1416.16197627028,0.166023853229794,10.6297151995427,0.226160245578908,0.241866623703072,0.201241547187957,0.256099740935632,0.301759806447685,0.239618823569847,6.41543308410059,0.309204352115884,10.1744036003269,0.36265861416802,0.269921764850942,0.360729430026888
"6050",5.35899512856398,1488.36679936476,0.197358530425554,12.2830716507435,0.184982105877171,0.23592871635661,0.191237781791894,0.264074315225544,0.307484598393809,0.247319479540684,4.42403458812918,0.331086001449007,13.12760892691,0.373712710319008,0.348755065313774,0.47785877983746
"6055",4.45281221555305,1363.69705628622,0.172033748046436,9.02946908260476,0.218269931507555,0.239508102906677,0.192133744882907,0.274605074096788,0.267698755316981,0.258798993207566,7.01690095858469,0.284458823028507,13.0261212611787,0.342044612540055,0.48854843436184,0.421034360599716
"6062",6.66086340874773,1540.62231535763,0.183992587274028,12.2029952497072,0.168815713093388,0.230766173687793,0.165173672115243,0.250485975288231,0.289386743057618,0.19717543658904,6.11389848873473,0.338688008175414,13.5472074277532,0.375420920972273,0.449275292161103,0.349815387039275
"6067",8.41302735469969,1964.70250646403,0.214260637319932,13.0136147321462,0.227258226511644,0.224933536113316,0.167668239249323,0.255301443066084,0.296556484646311,0.219740493849178,6.37612876948242,0.46339665083082,11.0905538064486,0.375486501566783,0.392234918293371,0.466830624296987
"6068",7.05597842953706,1946.52916137451,0.207723078173977,12.9806048365642,0.165229330343772,0.258136773975058,0.19972958940285,0.25903810889794,0.301315312495146,0.227557675786141,6.14264174018926,0.341815894648268,13.5371939141505,0.372299781517855,0.365670253546633,0.400683030962549
"6069",6.86424187343813,1667.44009458657,0.19154581786494,12.1611144121233,0.292720916977539,0.357160749881548,0.211904770072565,0.305689853972132,0.322758337079238,0.557650250732451,5.90434964929489,0.354362642256396,16.8640608321409,0.403826424626676,0.339094948536129,0.411044626366121
"6079",9.10717337482474,1526.60271479478,0.184908032172569,11.5236902588157,0.174160618298432,0.226351211623717,0.2000208182355,0.272320048717334,0.316351838682036,0.272959247018894,5.68659094108144,0.288547396663163,14.8747027179784,0.380555564142829,0.492562842063612,0.399519926118763
"6084",6.58350753344156,1574.823962428,0.218536452982071,11.8582539027494,0.177492277482356,0.197328098298337,0.17229257438797,0.256834174664698,0.337706248492083,0.240102154941551,4.36252707871811,0.457262492112923,13.0378685036729,0.416163284267807,0.398748147695899,0.379555842735576
"6086",6.17060910822809,1719.1646161974,0.192267168404442,12.3257744720985,0.175081571103254,0.248121959423197,0.178470048546672,0.261982814794464,0.301706741849248,0.221060568385527,4.63336952653019,0.430202572061973,13.6513319333882,0.392139359690944,0.404221922634366,0.392655922595554
"6087",6.42691503949621,2044.83183750102,0.25466600450878,12.8008089083923,0.272785751069142,0.307768272591376,0.265815565836368,0.278553801448104,0.318609967459449,0.293785611907963,5.69952780383908,0.473813206747359,14.0145216985306,0.387466720718093,0.423694634926784,0.410185998196548
"6090",6.4698289876846,1629.96987412974,0.20864970769536,11.1852458615164,0.230244549326014,0.265037048164749,0.195337283292162,0.262756714276552,0.277793884548025,0.28877122920425,5.78891884605893,0.354084875484942,9.95286568175267,0.351797882849776,0.684847770715864,0.418627123771151
"6092",6.30757286187501,1834.95742913999,0.203662363962793,11.5364347099095,0.179622800901957,0.228052860618195,0.219400160413488,0.282940544509405,0.330880169835152,0.248530277753988,5.05676164178488,0.342112833049674,14.2681812560135,0.41635124971494,0.613518583169963,0.399856393828223
"6093",5.08563761477245,1572.65754353218,0.156914813391428,12.6166367137841,0.219085784721668,0.237556754840914,0.173737627601228,0.259289538027274,0.301497682499551,0.214598809363873,5.95758750874708,0.268847333137283,10.3178583634366,0.365706513338306,0.336619125351361,0.385057951396995
"6096",6.1995574475478,1603.64311581732,0.181944156838739,13.6229577013258,0.255473337015692,0.2528842446818,0.188375602333993,0.299515792031292,0.33277687340836,0.315399916516953,4.93214981799134,0.390488578790035,14.5869367268875,0.378971830002759,0.495883731529729,0.360612720659004
"6125",5.50034708773524,1881.20203772686,0.214958996699861,14.0133600146486,0.248834943624349,0.274223468179483,0.214828166530904,0.289858504204059,0.315087856636787,0.29159489238353,5.58933648772907,0.469350161530372,12.155130805021,0.363412969774589,0.395028102898197,0.523319312743166
"6126",8.46952636291609,1822.6308369291,0.19218157510328,12.6050922745061,0.193166292006319,0.196482082947587,0.171053450753937,0.289950564803332,0.364563243101959,0.287366205506693,5.39285975846833,0.359522518042174,14.292113670177,0.385281331278358,0.433475151767425,0.382196656029154
"6129",5.6191302759337,1608.96440428701,0.189000559108565,14.1308591198364,0.240765126801896,0.223701155852946,0.190726652038443,0.252722730570545,0.298258664149084,0.273989834362432,4.26721205236519,0.491408155958411,12.3031805056806,0.389733043436966,0.461385636173035,0.428405190404922
"6130",4.8180524940161,1462.72290243779,0.179449832805968,9.09091631099318,0.219545966069879,0.261580394817087,0.198858478207091,0.282064127622548,0.284468867283957,0.275121162975734,5.01042817686796,0.259570704626647,12.5391968012325,0.323107943475789,0.560120593035596,0.384911099386065
"6131",4.51145739501259,1528.53953666109,0.197139832634414,11.510523626012,0.181657209385302,0.218477465171465,0.172957776928385,0.255093127397994,0.295126042866792,0.269168117403551,4.88740078413938,0.391707330270748,11.1915846769103,0.370103107468156,0.431420369492954,0.379837476634993
"6134",5.30370146200724,1441.36056520237,0.199448320144357,11.5815557304576,0.224240024288237,0.203958111306833,0.149434183427745,0.230623081264013,0.291953570801488,0.185617680114365,4.68865374847435,0.361719028010252,11.4331744174111,0.368765527268234,0.353297562970281,0.419042153751674
"7010",5.21495685231466,1443.78781392953,0.197795896588801,14.4537173360615,0.229842134453112,0.275479177509159,0.187052615139961,0.253771766568673,0.296440133383912,0.247173521615828,5.16886317536047,0.383311098343517,15.7020362281032,0.367598605400306,0.317337065917138,0.532166609451678
"7018",5.17690865014562,1474.1729946282,0.177541766793939,8.70380015270781,0.242919990990228,0.252783731816658,0.186905471329054,0.264313193099213,0.286720408052283,0.271716689960022,5.29491617142103,0.302332931862265,12.1858022324252,0.351111114925161,0.382791130438097,0.389453207459158
